target,model,alpha,beta,alpha_beta_sum,lengthscale,sigma2,noise,lml,map,rmse,edge_rmse,interior_rmse,left_edge_rmse,right_edge_rmse,prior_sd_left,prior_sd_right,prior_sd_centre
steep_right,jacobi Legendre (space fixed),0.0,0.0,0.0,0.30429045678282096,0.03760578659081017,0.001278515261148539,93.27041744584682,93.19715929629139,0.14035414736535023,0.3594505510417558,0.013888824775656531,0.018751203421283676,0.8113946596077796,0.6998861196890633,0.6998861196890633,0.2359942036561088
steep_right,jacobi MAP space (alpha,beta learned),3.2055324197581783,-0.6707410286873592,2.534791391070819,0.18756960913522877,0.0005125720322411792,0.0011455684069450363,104.2300443523159,101.92413456158928,0.07469138157676397,0.1919376171579758,0.0074964487911147884,1.9280679119727005e-05,0.683643773190366,0.008468187129779998,18.187654260781677,0.036273788471911914
steep_right,jacobi mirrored (wrong space),-0.6707410286873592,3.2055324197581783,2.534791391070819,0.555811955363982,2.3145668643758044,0.0014407384238650986,81.77265406991756,79.46674427919095,0.13318393902112333,0.3405506330837377,0.02023495235493158,0.006340127584582362,0.9078666846772694,27.428410035649733,0.4368624340946423,1.5326440210975842
steep_right,jacobi mirrored, scale frozen (LR test),-0.6707410286873592,3.2055324197581783,2.534791391070819,0.1719088734278186,0.0005125720322411792,0.0011455684069450363,-539.8520735980168,-542.1579833887433,0.3105787522399676,0.64315451980289,0.16618965864245683,0.23758536006204384,0.9981962204009054,25.31128163386335,0.00866984226252083,0.037672884876343384
steep_right,RBF-GP (no space parameters),-,-,-,0.24256295111108556,0.08962131792201258,0.0011842536420813901,93.55264821302231,nan,0.09019386833020145,0.22945934822171582,0.013217618372866152,0.08409005882035618,0.4990093040231632,nan,nan,nan
steep_left,jacobi Legendre (space fixed),0.0,0.0,0.0,0.27923988851105686,0.039546437389515646,0.0011418122068120307,94.2711352454167,94.19787709586127,0.05569528546772382,0.1405225821678113,0.011152080133794212,0.3539468607221608,0.01788482152484944,0.7762055634497378,0.7762055634497378,0.25138182722670666
steep_left,jacobi MAP space (alpha,beta learned),-0.7042954395028416,3.2636980937801052,2.559402654277264,0.23288203236401545,0.0006041442690990962,0.0010668566777433284,105.32013297610678,102.92053712182525,0.23659683228189568,0.6106918165311618,0.009902028895434232,1.8149972166655293,2.949557476217968e-05,9.39675881329198,0.007601407631824249,0.03586434893157461
steep_left,jacobi mirrored (wrong space),3.2636980937801052,-0.7042954395028416,2.559402654277264,0.4612812137149676,1.3544754842401792,0.0014027633323082374,80.31644589787487,77.91685004359334,0.18142048480993045,0.4669900461492053,0.015091925658423629,0.9029530608821913,0.8863974984915641,0.3101284482440771,39.37037317072866,1.2678701530525562
steep_left,jacobi mirrored, scale frozen (LR test),3.2636980937801052,-0.7042954395028416,2.559402654277264,0.2093545443122652,0.0006041442690990962,0.0010668566777433284,-1130.5244238663677,-1132.924019720649,0.2722801808664996,0.6198040673394264,0.10416028727193542,1.0017333149688195,0.22096793214489177,0.0077933670427834415,14.02904341726069,0.037544393075460335
steep_left,RBF-GP (no space parameters),-,-,-,0.25741695797018027,0.09911896991146156,0.0011523857988709756,94.69564882615259,nan,0.07562297017146041,0.19277139731190884,0.011577542273538428,0.4348805806883374,0.04898266665585081,nan,nan,nan
