target,prior_sd,N,spectrum,edge,M,data_noise,seed,alpha,beta,gain,rmse,clamp,legendre_clamp,broke
vanishing,2.0,30,se,0.999,60,0.001,3,-0.8282558099770077,-0.9058064578200864,6.5916851361311615,0.021008917789411836,0.018562648723287584,0.18677570553393288,False
ramp_right,2.0,30,se,0.85,60,0.001,100,1.301397129328922,-0.8485154498703266,2.2263335885122615,0.006696985476058567,0.006601004143578119,0.01075089782919835,False
ramp_right,2.0,30,se,0.85,60,0.001,101,1.1983941728002985,-0.8500490387376233,1.9612107317956884,0.01184147171523145,0.024943202723208935,0.026111677925973527,False
ramp_right,2.0,30,se,0.85,60,0.001,102,1.4069292576612749,-0.8685090130750944,2.3278023009758044,0.0051705390272054575,0.0028935944867457884,0.0036367497403999353,False
ramp_right,2.0,30,se,0.85,60,0.001,103,1.283927831377607,-0.8728050897319776,2.1308148057929657,0.007208619546389633,0.005996898880358079,0.005285984742298361,False
ramp_right,2.0,30,se,0.85,60,0.001,104,1.3551120585978595,-0.8510763283385663,2.3015911357456673,0.015163613596075643,0.02795394165379931,0.021221243111941034,False
steep_right,2.0,30,se,0.85,60,0.001,100,3.341899444913383,-0.6867212594190273,8.722002432108468,0.09495501116635512,1.4695910828653154e-06,0.0012876203998010058,False
steep_right,2.0,30,se,0.85,60,0.001,101,3.1996207006403514,-0.6840742821525634,9.747687070538547,0.25491427268043976,8.370161613021882e-05,0.06000341327362186,False
steep_right,2.0,30,se,0.85,60,0.001,102,3.5716850969352274,-0.666952028857877,10.394805121662444,0.4920498322947129,3.479452213873331e-05,0.036060308861235964,False
steep_right,2.0,30,se,0.85,60,0.001,103,3.6312232138931035,-0.7139065817583572,12.886152483299611,0.7357088233568825,6.277620929974595e-06,0.16006102876129336,False
steep_right,2.0,30,se,0.85,60,0.001,104,3.2343916755086237,-0.6810974944248542,9.615179565744654,0.1779163026571608,8.289367609282953e-05,0.12313294391456804,False
vanishing,2.0,30,se,0.85,60,0.001,100,-0.7183445874660787,-0.5281718885178979,1.0568494863210844,0.028022894239651982,0.0003737854428769699,0.0027342054762860097,False
vanishing,2.0,30,se,0.85,60,0.001,101,-0.7359228710372488,-0.7037660072597205,1.68273972431912,0.03170609367167526,0.007122219370434854,0.020749674531184797,False
vanishing,2.0,30,se,0.85,60,0.001,102,-0.7072553857450607,-0.658985008187122,1.2916437433204635,0.06603028048884574,0.00837752107905092,0.03099040326052683,False
vanishing,2.0,30,se,0.85,60,0.001,103,-0.7605329981132538,-0.6717429010069512,1.8590215412586701,0.06899859611004884,0.01513885592013621,0.057241850436382365,False
vanishing,2.0,30,se,0.85,60,0.001,104,-0.7532260868273731,-0.7329778286794362,2.040189426038104,0.01831057948466679,0.0018931254535558962,0.005891940205415211,False
